sample_idx,class_c,b,V1,V2,V2_over_V1,V3_c,V3_k0,V3_k1,V3_k2,V3_k3,V3_k4,V3_k5,V3_k6,V3_k7,V3_k8,V3_k9
25,3,4,1.189578,0.569576,0.478805,0.569576,0.0,0.0,0.0,0.569576,0.0,0.0,0.0,0.0,0.0,0.0
25,3,6,1.189578,0.885163,0.744099,0.885163,0.0,0.0,0.0,0.885163,0.0,0.0,0.0,0.245633,0.0,0.0
25,3,8,1.189578,1.046637,0.879839,1.046637,0.0,0.0,0.214261,1.046637,0.573079,0.0,0.0,0.315454,0.0,0.0
25,3,10,1.189578,1.138335,0.956924,1.138335,0.0,0.0,0.463404,1.138335,0.706752,0.0,0.0,0.450652,0.0,0.0
25,3,12,1.189578,1.178488,0.990677,1.178488,0.0,0.0,0.543383,1.178488,0.0,0.0,0.0,0.0,0.0,0.0
25,3,16,1.189578,1.189232,0.999709,1.189232,0.0,0.147687,0.205446,1.189232,0.811829,0.0,0.0,0.688456,0.0,0.0
105,1,4,1.290809,0.591331,0.458108,0.591331,0.0,0.591331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1,6,1.290809,1.028124,0.796495,1.028124,0.0,1.028124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1,8,1.290809,1.156539,0.89598,1.156539,0.0,1.156539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1,10,1.290809,1.233181,0.955355,1.233181,0.0,1.233181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1,12,1.290809,1.278799,0.990695,1.278799,0.0,1.278799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1,16,1.290809,1.290753,0.999956,1.290753,0.0,1.290753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,5,4,1.839538,0.965884,0.525069,0.965884,0.0,0.0,0.0,0.0,0.0,0.965884,0.0,0.0,0.0,0.0
115,5,6,1.839538,1.471566,0.799965,1.471566,0.0,0.0,0.0,0.0,0.0,1.471566,0.0,0.0,0.0,0.0
115,5,8,1.839538,1.709427,0.92927,1.709427,0.0,0.0,0.0,0.0,0.0,1.709427,0.0,0.0,0.0,0.173664
115,5,10,1.839538,1.799531,0.978252,1.799531,0.0,0.0,0.0,0.0,0.0,1.799531,0.0,0.0,0.0,0.894374
115,5,12,1.839538,1.824907,0.992046,1.824907,0.0,0.0,0.0,0.0,0.0,1.824907,0.0,0.0,0.0,0.92931
115,5,16,1.839538,1.839099,0.999761,1.839099,0.0,0.0,0.0,0.0,0.0,1.839099,0.0,0.0,0.0,0.956565
143,8,4,1.049067,0.470684,0.448669,0.470684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.470684,0.0
143,8,6,1.049067,0.722031,0.68826,0.722031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722031,0.0
143,8,8,1.049067,0.890837,0.849171,0.890837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890837,0.0
143,8,10,1.049067,0.992236,0.945827,0.992236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992236,0.0
143,8,12,1.049067,1.027571,0.979509,1.027571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.027571,0.0
143,8,16,1.049067,1.048655,0.999607,1.048655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.048655,0.0
229,2,4,1.978802,1.090564,0.551123,1.090564,0.0,0.0,1.090564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,2,6,1.978802,1.50534,0.760733,1.50534,0.0,0.0,1.50534,0.0,0.0,0.0,0.851541,0.0,0.0,0.0
229,2,8,1.978802,1.751562,0.885163,1.751562,0.0,0.0,1.751562,0.0,0.0,0.0,1.357656,0.0,0.0,0.0
229,2,10,1.978802,1.905135,0.962772,1.905135,0.0,0.0,1.905135,0.0,0.0,0.0,1.610758,0.0,0.0,0.0
229,2,12,1.978802,1.95737,0.989169,1.95737,0.0,0.0,1.95737,0.0,0.0,0.0,1.672492,0.0,0.0,0.0
229,2,16,1.978802,1.978362,0.999777,1.978362,0.0,0.0,1.978362,0.0,0.0,0.0,1.678183,0.0,0.0,0.0
251,2,4,1.85814,0.956459,0.51474,0.956459,0.874554,0.0,0.956459,0.0,0.711305,0.0,0.0,0.0,0.759606,0.0
251,2,6,1.85814,1.402552,0.754815,1.402552,1.230138,0.0,1.402552,0.0,1.311968,0.0,0.0,0.0,1.125855,0.0
251,2,8,1.85814,1.692551,0.910885,1.692551,1.608204,0.0,1.692551,0.883031,1.663636,0.0,1.099807,0.0,1.540467,0.0
251,2,10,1.85814,1.794919,0.965976,1.794919,1.727413,0.0,1.794919,1.031902,1.765094,0.0,1.094001,0.0,1.655703,0.0
251,2,12,1.85814,1.840138,0.990311,1.840138,1.776397,0.0,1.840138,1.153942,1.813655,0.0,1.335297,0.760455,1.70143,0.0
251,2,16,1.85814,1.857723,0.999775,1.857723,1.790055,0.0,1.857723,1.186673,1.830609,0.0,1.37035,0.805928,1.719206,0.0
282,9,4,1.710097,0.840363,0.491413,0.840363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.840363
282,9,6,1.710097,1.327861,0.776482,1.327861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.327861
282,9,8,1.710097,1.563892,0.914505,1.563892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.563892
