sample_idx,class_c,b,V1,V2,V2_over_V1,V3_c,V3_k0,V3_k1,V3_k2,V3_k3,V3_k4,V3_k5,V3_k6,V3_k7,V3_k8,V3_k9
25,2,4,39.557467,37.342046,0.943995,37.342046,0.0,0.0,37.342046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2,6,39.557467,39.124683,0.989059,39.124683,0.0,0.0,39.124683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2,8,39.557467,39.475475,0.997927,39.475475,0.0,0.0,39.475475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2,10,39.557467,39.536124,0.99946,39.536124,0.0,0.0,39.536124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2,12,39.557467,39.552425,0.999873,39.552425,0.0,0.0,39.552425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2,16,39.557467,39.557145,0.999992,39.557145,0.0,0.0,39.557145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1,4,40.309336,38.433639,0.953467,38.433639,0.0,38.433639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1,6,40.309336,39.897587,0.989785,39.897587,0.0,39.897587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1,8,40.309336,40.238542,0.998244,40.238542,0.0,40.238542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1,10,40.309336,40.291721,0.999563,40.291721,0.0,40.291721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1,12,40.309336,40.304816,0.999888,40.304816,0.0,40.304816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1,16,40.309336,40.309069,0.999993,40.309069,0.0,40.309069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,4,4,39.812055,37.542228,0.942986,37.542228,0.0,0.0,0.0,0.0,37.542228,0.0,0.0,0.0,0.0,0.0
114,4,6,39.812055,39.230209,0.985385,39.230209,0.0,0.0,0.0,0.0,39.230209,0.0,0.0,0.0,0.0,0.0
114,4,8,39.812055,39.645939,0.995827,39.645939,0.0,0.0,0.0,0.0,39.645939,0.0,0.0,0.0,0.0,0.0
114,4,10,39.812055,39.717222,0.997618,39.717222,0.0,0.0,0.0,0.0,39.717222,0.0,0.0,0.0,0.0,0.0
114,4,12,39.812055,39.807098,0.999875,39.807098,0.0,0.0,0.0,0.0,39.807098,0.0,0.0,0.0,0.0,0.0
114,4,16,39.812055,39.811731,0.999992,39.811731,0.0,0.0,0.0,0.0,39.811731,0.0,0.0,0.0,0.0,0.0
142,7,4,39.896627,37.536467,0.940843,37.536467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.536467,0.0,0.0
142,7,6,39.896627,39.488611,0.989773,39.488611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.488611,0.0,0.0
142,7,8,39.896627,39.768161,0.99678,39.768161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.768161,0.0,0.0
142,7,10,39.896627,39.876664,0.9995,39.876664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.876664,0.0,0.0
142,7,12,39.896627,39.891836,0.99988,39.891836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.891836,0.0,0.0
142,7,16,39.896627,39.896295,0.999992,39.896295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.896295,0.0,0.0
228,4,4,40.615645,39.124275,0.963281,39.124275,0.0,0.0,0.0,0.0,39.124275,0.0,0.0,0.0,0.0,0.0
228,4,6,40.615645,40.116817,0.987718,40.116817,0.0,0.0,0.0,0.0,40.116817,0.0,0.0,0.0,0.0,0.0
228,4,8,40.615645,40.549933,0.998382,40.549933,0.0,0.0,0.0,0.0,40.549933,0.0,0.0,0.0,0.0,0.0
228,4,10,40.615645,40.599694,0.999607,40.599694,0.0,0.0,0.0,0.0,40.599694,0.0,0.0,0.0,0.0,0.0
228,4,12,40.615645,40.611521,0.999898,40.611521,0.0,0.0,0.0,0.0,40.611521,0.0,0.0,0.0,0.0,0.0
228,4,16,40.615645,40.615382,0.999994,40.615382,0.0,0.0,0.0,0.0,40.615382,0.0,0.0,0.0,0.0,0.0
250,4,4,39.683427,37.502161,0.945033,37.502161,0.0,0.0,0.0,0.0,37.502161,0.0,0.0,0.0,0.0,0.0
